Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.01     0.00    16741     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::end()
  0.00      0.01     0.00    16700     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      0.01     0.00    16397     0.00     0.00  EdgeButterfly&& std::forward<EdgeButterfly>(std::remove_reference<EdgeButterfly>::type&)
  0.00      0.01     0.00    15992     0.00     0.00  bool std::operator< <int, int>(std::pair<int, int> const&, std::pair<int, int> const&)
  0.00      0.01     0.00    15810     0.00     0.00  bool __gnu_cxx::__ops::_Val_comp_iter<main::{lambda(EdgeButterfly const&, EdgeButterfly const&)#1}>::operator()<EdgeButterfly, __gnu_cxx::__normal_iterator<EdgeButterfly*, std::vector<EdgeButterfly, std::allocator<EdgeButterfly> > > >(EdgeButterfly&, __gnu_cxx::__normal_iterator<EdgeButterfly*, std::vector<EdgeButterfly, std::allocator<EdgeButterfly> > >)
  0.00      0.01     0.00    14170     0.00     0.00  bool __gnu_cxx::operator!=<VVertexInfo*, std::vector<VVertexInfo, std::allocator<VVertexInfo> > >(__gnu_cxx::__normal_iterator<VVertexInfo*, std::vector<VVertexInfo, std::allocator<VVertexInfo> > > const&, __gnu_cxx::__normal_iterator<VVertexInfo*, std::vector<VVertexInfo, std::allocator<VVertexInfo> > > const&)
  0.00      0.01     0.00    14140     0.00     0.00  std::vector<VVertexInfo, std::allocator<VVertexInfo> >::operator[](unsigned long)
  0.00      0.01     0.00    13390     0.00     0.00  __gnu_cxx::__normal_iterator<EdgeButterfly*, std::vector<EdgeButterfly, std::allocator<EdgeButterfly> > >::__normal_iterator(EdgeButterfly* const&)
  0.00      0.01     0.00    12392     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::size() const
  0.00      0.01     0.00    12052     0.00     0.00  std::pair<int, int>&& std::forward<std::pair<int, int> >(std::remove_reference<std::pair<int, int> >::type&)
  0.00      0.01     0.00    11666     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.01     0.00    11089     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::begin()
  0.00      0.01     0.00    10882     0.00     0.00  __gnu_cxx::__normal_iterator<EdgeButterfly const*, std::vector<EdgeButterfly, std::allocator<EdgeButterfly> > >::base() const
  0.00      0.01     0.00    10384     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.01     0.00    10089     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::operator--()
  0.00      0.01     0.00     9294     0.00     0.00  __gnu_cxx::new_allocator<std::pair<int, int> >::_M_max_size() const
  0.00      0.01     0.00     8513     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.01     0.00     8513     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.01     0.00     8504     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.01     0.00     8504     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.01     0.00     8504     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.01     0.00     8504     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.01     0.00     8504     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.01     0.00     8484     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.01     0.00     8484     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.01     0.00     8484     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.01     0.00     8480     0.00     0.00  std::pair<int, int>::operator=(std::pair<int, int>&&)
  0.00      0.01     0.00     8473     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.01     0.00     8464     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.00      0.01     0.00     8433     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.01     0.00     8433     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.01     0.00     8433     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.01     0.00     8413     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.01     0.00     8413     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.01     0.00     8413     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.00      0.01     0.00     8383     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      0.01     0.00     8383     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      0.01     0.00     8383     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      0.01     0.00     8350     0.00     0.00  void std::_Construct<std::vector<int, std::allocator<int> >>(std::vector<int, std::allocator<int> >*)
  0.00      0.01     0.00     8350     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*)
  0.00      0.01     0.00     8303     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >, __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > >(__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >, __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >) const
  0.00      0.01     0.00     7689     0.00     0.00  bool __gnu_cxx::__ops::_Val_less_iter::operator()<std::pair<int, int>, __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > >(std::pair<int, int>&, __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >) const
